ts,close_bn,close_gt,gap_bps,regime
2026-07-14 14:31:00+00:00,397.37,397.34,-0.7549638875614662,session
2026-07-14 14:32:00+00:00,397.91,397.52,-9.801211329195647,session
2026-07-14 14:33:00+00:00,398.06,398.08,0.5024368185702066,session
2026-07-14 14:34:00+00:00,398.32,398.25,-1.7573810002002865,session
2026-07-14 14:35:00+00:00,398.94,398.54,-10.02657041158983,session
2026-07-14 14:36:00+00:00,398.52,398.74,5.52042557462773,session
2026-07-14 14:37:00+00:00,398.08,398.29,5.275321543409817,session
2026-07-14 14:38:00+00:00,398.3,398.0,-7.532011046950116,session
2026-07-14 14:39:00+00:00,398.32,398.25,-1.7573810002002865,session
2026-07-14 14:40:00+00:00,398.46,398.69,5.772223058777559,session
2026-07-14 14:41:00+00:00,397.84,398.06,5.529861250754831,session
2026-07-14 14:42:00+00:00,398.12,398.07,-1.255902742891557,session
2026-07-14 14:43:00+00:00,397.76,397.76,0.0,session
2026-07-14 14:44:00+00:00,398.02,397.87,-3.7686548414650467,session
2026-07-14 14:45:00+00:00,398.18,398.16,-0.502285398562563,session
2026-07-14 14:46:00+00:00,397.6,397.45,-3.7726358148904016,session
2026-07-14 14:47:00+00:00,397.33,397.63,7.55039891274345,session
2026-07-14 14:48:00+00:00,397.74,397.73,-0.25142052597182385,session
2026-07-14 14:49:00+00:00,397.39,397.61,5.536123203906396,session
2026-07-14 14:50:00+00:00,397.6,397.41,-4.778672032192954,session
2026-07-14 14:51:00+00:00,398.25,398.17,-2.008788449465726,session
2026-07-14 14:52:00+00:00,398.67,398.72,1.2541701156343343,session
2026-07-14 14:53:00+00:00,398.83,398.62,-5.265401298798489,session
2026-07-14 14:54:00+00:00,398.9,398.83,-1.7548257708699389,session
2026-07-14 14:55:00+00:00,398.88,399.0,3.0084235860416975,session
2026-07-14 14:56:00+00:00,398.88,398.82,-1.5042117930208487,session
2026-07-14 14:57:00+00:00,399.32,399.31,-0.25042572373012995,session
2026-07-14 14:58:00+00:00,399.12,399.27,3.7582681900172332,session
2026-07-14 14:59:00+00:00,399.21,399.23,0.5009894541729842,session
2026-07-14 15:00:00+00:00,398.89,399.23,8.523653137457732,session
2026-07-14 15:01:00+00:00,398.7,398.78,2.0065211938802285,session
2026-07-14 15:02:00+00:00,398.53,398.78,6.273053471508305,session
2026-07-14 15:03:00+00:00,398.47,398.53,1.5057595302025994,session
2026-07-14 15:04:00+00:00,398.92,399.07,3.760152411511619,session
2026-07-14 15:05:00+00:00,398.78,398.86,2.006118661919132,session
2026-07-14 15:06:00+00:00,398.74,398.74,0.0,session
2026-07-14 15:07:00+00:00,399.18,399.15,-0.7515406583502582,session
2026-07-14 15:08:00+00:00,399.86,400.0,3.5012254288990796,session
2026-07-14 15:09:00+00:00,400.62,400.6,-0.49922619939080093,session
2026-07-14 15:10:00+00:00,401.99,401.99,0.0,session
2026-07-14 15:11:00+00:00,400.73,400.62,-2.7449903925336194,session
2026-07-14 15:12:00+00:00,400.68,400.59,-2.246181491465382,session
2026-07-14 15:13:00+00:00,401.05,400.88,-4.23887295848413,session
2026-07-14 15:14:00+00:00,400.93,400.94,0.24942009827055855,session
2026-07-14 15:15:00+00:00,400.86,400.81,-1.2473182657291026,session
2026-07-14 15:16:00+00:00,400.99,400.75,-5.985186663008957,session
2026-07-14 15:17:00+00:00,401.11,401.09,-0.4986163396580867,session
2026-07-14 15:18:00+00:00,400.68,400.69,0.24957572127393135,session
2026-07-14 15:19:00+00:00,400.08,400.14,1.4997000599881183,session
2026-07-14 15:20:00+00:00,399.82,399.54,-7.003151418137898,session
2026-07-14 15:21:00+00:00,399.83,399.91,2.000850361405515,session
2026-07-14 15:22:00+00:00,399.56,399.69,3.2535789368304258,session
2026-07-14 15:23:00+00:00,399.44,399.35,-2.2531544161819017,session
2026-07-14 15:24:00+00:00,399.42,399.51,2.253267237493084,session
2026-07-14 15:25:00+00:00,399.3,399.33,0.7513148009019588,session
2026-07-14 15:26:00+00:00,399.74,399.58,-4.002601691099894,session
2026-07-14 15:27:00+00:00,399.66,399.58,-2.001701446230353,session
2026-07-14 15:28:00+00:00,399.71,399.59,-3.0021765780197107,session
2026-07-14 15:29:00+00:00,400.13,399.9,-5.748131857147287,session
2026-07-14 15:30:00+00:00,399.87,399.89,0.5001625528300302,session
2026-07-14 15:31:00+00:00,399.97,399.74,-5.750431282346424,session
2026-07-14 15:32:00+00:00,399.67,399.74,1.7514449420774625,session
2026-07-14 15:33:00+00:00,399.27,399.34,1.7531995892494656,session
2026-07-14 15:34:00+00:00,398.97,399.0,0.7519362358054948,session
2026-07-14 15:35:00+00:00,398.95,398.83,-3.007895726281351,session
2026-07-14 15:36:00+00:00,398.68,398.82,3.5115882411962396,session
2026-07-14 15:37:00+00:00,398.37,398.48,2.7612521023168135,session
2026-07-14 15:38:00+00:00,398.49,398.27,-5.5208411754381626,session
2026-07-14 15:39:00+00:00,398.61,398.43,-4.515692029803953,session
2026-07-14 15:40:00+00:00,398.35,398.42,1.7572486506844953,session
2026-07-14 15:41:00+00:00,398.14,397.9,-6.028030341086454,session
2026-07-14 15:42:00+00:00,397.63,397.6,-0.7544702361483857,session
2026-07-14 15:43:00+00:00,397.53,397.41,-3.0186401026321974,session
2026-07-14 15:44:00+00:00,397.69,397.63,-1.508712816515878,session
2026-07-14 15:45:00+00:00,397.89,397.87,-0.5026514865913434,session
2026-07-14 15:46:00+00:00,397.78,397.77,-0.2513952436022926,session
2026-07-14 15:47:00+00:00,398.17,398.25,2.0091920536446928,session
2026-07-14 15:48:00+00:00,398.14,398.05,-2.2605113779061714,session
2026-07-14 15:49:00+00:00,397.78,397.73,-1.2569762180092425,session
2026-07-14 15:50:00+00:00,397.65,397.72,1.7603420093048605,session
2026-07-14 15:51:00+00:00,397.26,397.4,3.52414036147497,session
2026-07-14 15:52:00+00:00,396.71,396.79,2.016586423332356,session
2026-07-14 15:53:00+00:00,396.98,396.73,-6.297546475892979,session
2026-07-14 15:54:00+00:00,396.41,396.4,-0.2522640700297618,session
2026-07-14 15:55:00+00:00,396.6,396.3,-7.5642965204236745,session
2026-07-14 15:56:00+00:00,396.58,396.48,-2.5215593322902574,session
2026-07-14 15:57:00+00:00,396.65,396.79,3.5295600655493864,session
2026-07-14 15:58:00+00:00,396.68,396.5,-4.537662599576331,session
2026-07-14 15:59:00+00:00,396.97,396.9,-1.7633574325526258,session
2026-07-14 16:00:00+00:00,396.35,396.29,-1.5138135486314486,session
2026-07-14 16:01:00+00:00,396.23,396.35,3.0285440274591124,session
2026-07-14 16:02:00+00:00,396.34,396.07,-6.812332845536062,session
2026-07-14 16:03:00+00:00,396.4,396.06,-8.57719475277463,session
2026-07-14 16:04:00+00:00,396.43,396.19,-6.054032237722273,session
2026-07-14 16:05:00+00:00,396.78,396.45,-8.316951459246269,session
2026-07-14 16:06:00+00:00,397.13,396.63,-12.590335658348994,session
2026-07-14 16:07:00+00:00,396.69,396.58,-2.7729461292191893,session
2026-07-14 16:08:00+00:00,396.87,396.57,-7.559150351500454,session
2026-07-14 16:09:00+00:00,396.83,396.66,-4.283950306175344,session
2026-07-14 16:10:00+00:00,396.41,396.34,-1.7658484902005611,session
2026-07-14 16:11:00+00:00,396.52,396.26,-6.5570463028341575,session
2026-07-14 16:12:00+00:00,396.7,396.25,-11.343584572724996,session
2026-07-14 16:13:00+00:00,396.74,396.55,-4.789030599384736,session
2026-07-14 16:14:00+00:00,396.59,396.46,-3.277944476663963,session
2026-07-14 16:15:00+00:00,396.38,395.96,-10.595892830113085,session
2026-07-14 16:16:00+00:00,396.56,396.22,-8.573734113374032,session
2026-07-14 16:17:00+00:00,396.58,396.29,-7.312522063642746,session
2026-07-14 16:18:00+00:00,396.76,396.54,-5.544913801793783,session
2026-07-14 16:19:00+00:00,396.91,396.44,-11.841475397446066,session
2026-07-14 16:20:00+00:00,396.87,396.69,-4.535490210900717,session
2026-07-14 16:21:00+00:00,396.67,396.39,-7.058764212065638,session
2026-07-14 16:22:00+00:00,396.43,396.48,1.2612567161918165,session
2026-07-14 16:23:00+00:00,396.42,396.34,-2.0180616517839756,session
2026-07-14 16:24:00+00:00,396.69,396.38,-7.81466636416317,session
2026-07-14 16:25:00+00:00,396.87,396.62,-6.299291959583897,session
2026-07-14 16:26:00+00:00,396.69,396.54,-3.7812901762079854,session
2026-07-14 16:27:00+00:00,396.9,396.58,-8.062484252959745,session
2026-07-14 16:28:00+00:00,396.97,396.63,-8.564878958108313,session
2026-07-14 16:29:00+00:00,396.92,396.67,-6.298498437972144,session
2026-07-14 16:30:00+00:00,397.34,397.1,-6.04016711128863,session
2026-07-14 16:31:00+00:00,397.65,397.6,-1.2573871495025202,session
2026-07-14 16:32:00+00:00,397.45,397.34,-2.767643728771585,session
2026-07-14 16:33:00+00:00,397.47,397.23,-6.038191561626993,session
2026-07-14 16:34:00+00:00,397.65,397.35,-7.544322897018452,session
2026-07-14 16:35:00+00:00,398.23,397.76,-11.80222484494009,session
2026-07-14 16:36:00+00:00,398.37,398.11,-6.526595878203478,session
2026-07-14 16:37:00+00:00,398.23,398.14,-2.2600005022233027,session
2026-07-14 16:38:00+00:00,398.2,397.95,-6.278252134606088,session
2026-07-14 16:39:00+00:00,398.2,397.93,-6.780512305373243,session
2026-07-14 16:40:00+00:00,398.08,397.99,-2.260852090031351,session
2026-07-14 16:41:00+00:00,398.02,397.77,-6.281091402442485,session
2026-07-14 16:42:00+00:00,397.79,397.58,-5.279167399885321,session
2026-07-14 16:43:00+00:00,397.94,397.7,-6.03105995878761,session
2026-07-14 16:44:00+00:00,397.93,397.77,-4.020807679743221,session
2026-07-14 16:45:00+00:00,397.69,397.63,-1.508712816515878,session
2026-07-14 16:46:00+00:00,397.4,397.22,-4.529441368896769,session
2026-07-14 16:47:00+00:00,397.05,396.87,-4.53343407631257,session
2026-07-14 16:48:00+00:00,396.87,396.73,-3.5276034973663606,session
2026-07-14 16:49:00+00:00,397.04,396.76,-7.052186177716191,session
2026-07-14 16:50:00+00:00,397.26,396.97,-7.300005034485135,session
2026-07-14 16:51:00+00:00,397.2,397.0,-5.0352467270897705,session
2026-07-14 16:52:00+00:00,396.74,396.65,-2.268488178657213,session
2026-07-14 16:53:00+00:00,396.92,396.79,-3.275219187744982,session
2026-07-14 16:54:00+00:00,396.66,396.5,-4.033681238341247,session
2026-07-14 16:55:00+00:00,396.89,396.58,-7.810728413414347,session
2026-07-14 16:56:00+00:00,396.73,396.71,-0.5041211907352849,session
2026-07-14 16:57:00+00:00,396.61,396.36,-6.303421497189099,session
2026-07-14 16:58:00+00:00,396.51,396.32,-4.791808529419628,session
2026-07-14 16:59:00+00:00,395.93,396.01,2.020559189754856,session
2026-07-14 17:00:00+00:00,396.02,395.95,-1.7675874955813686,session
2026-07-14 17:01:00+00:00,396.24,395.89,-8.833030486574689,session
2026-07-14 17:02:00+00:00,396.24,396.02,-5.552190591561201,session
2026-07-14 17:03:00+00:00,396.2,396.19,-0.2523977788992937,session
2026-07-14 17:04:00+00:00,396.24,396.06,-4.542701393095427,session
2026-07-14 17:05:00+00:00,396.07,395.95,-3.0297674653467777,session
2026-07-14 17:06:00+00:00,395.92,395.94,0.5051525560717529,session
2026-07-14 17:07:00+00:00,395.92,395.78,-3.536067892504491,session
2026-07-14 17:08:00+00:00,395.83,395.61,-5.55794154055933,session
2026-07-14 17:09:00+00:00,395.92,395.76,-4.041220448576244,session
2026-07-14 17:10:00+00:00,396.29,395.86,-10.850639683060992,session
2026-07-14 17:11:00+00:00,396.06,395.78,-7.069635913751204,session
2026-07-14 17:12:00+00:00,395.7,395.6,-2.5271670457405193,session
2026-07-14 17:13:00+00:00,395.79,395.64,-3.789888577276912,session
2026-07-14 17:14:00+00:00,395.69,395.5,-4.801738734868666,session
2026-07-14 17:15:00+00:00,395.43,395.15,-7.080899274208852,session
2026-07-14 17:16:00+00:00,395.55,395.43,-3.0337504740240995,session
2026-07-14 17:17:00+00:00,395.53,395.44,-2.275427906858196,session
2026-07-14 17:18:00+00:00,395.59,395.48,-2.780656740564158,session
2026-07-14 17:19:00+00:00,395.85,395.59,-6.568144499180528,session
2026-07-14 17:20:00+00:00,396.01,395.62,-9.84823615565178,session
2026-07-14 17:21:00+00:00,395.96,395.81,-3.7882614405493342,session
2026-07-14 17:22:00+00:00,395.92,395.96,1.0103051121435058,session
2026-07-14 17:23:00+00:00,396.21,396.05,-4.038262537542359,session
2026-07-14 17:24:00+00:00,395.98,395.8,-4.545684125460969,session
2026-07-14 17:25:00+00:00,395.95,395.9,-1.2627857052660563,session
2026-07-14 17:26:00+00:00,395.97,395.79,-4.545798924161515,session
2026-07-14 17:27:00+00:00,395.96,395.82,-3.535710677845527,session
2026-07-14 17:28:00+00:00,395.94,395.83,-2.778198716977265,session
2026-07-14 17:29:00+00:00,395.74,395.81,1.768838126041672,session
2026-07-14 17:30:00+00:00,395.66,395.66,0.0,session
2026-07-14 17:31:00+00:00,395.61,395.46,-3.7916129521509134,session
2026-07-14 17:32:00+00:00,395.61,395.46,-3.7916129521509134,session
2026-07-14 17:33:00+00:00,395.35,395.43,2.0235234602239416,session
2026-07-14 17:34:00+00:00,395.67,395.45,-5.560189046428521,session
2026-07-14 17:35:00+00:00,395.93,395.55,-9.597656151340006,session
2026-07-14 17:36:00+00:00,395.68,395.72,1.0109179134665247,session
2026-07-14 17:37:00+00:00,395.65,395.54,-2.7802350562355915,session
2026-07-14 17:38:00+00:00,395.59,395.46,-3.2862306933945096,session
2026-07-14 17:39:00+00:00,395.77,395.59,-4.548096116431255,session
2026-07-14 17:40:00+00:00,395.93,395.61,-8.082236759022754,session
2026-07-14 17:41:00+00:00,395.85,395.71,-3.53669319186678,session
2026-07-14 17:42:00+00:00,395.74,395.71,-0.7580734825907154,session
2026-07-14 17:43:00+00:00,395.78,395.67,-2.7793218454685853,session
2026-07-14 17:44:00+00:00,395.68,395.68,0.0,session
2026-07-14 17:45:00+00:00,395.67,395.56,-2.7800945232137053,session
2026-07-14 17:46:00+00:00,395.44,395.24,-5.05765729314156,session
2026-07-14 17:47:00+00:00,395.79,395.29,-12.632961924252673,session
2026-07-14 17:48:00+00:00,396.28,395.94,-8.579792066215619,session
2026-07-14 17:49:00+00:00,396.03,396.1,1.7675428629160272,session
2026-07-14 17:50:00+00:00,396.21,395.9,-7.824133666489708,session
2026-07-14 17:51:00+00:00,396.39,396.29,-2.522767981028018,session
2026-07-14 17:52:00+00:00,396.14,396.19,1.2621800373602277,session
2026-07-14 17:53:00+00:00,396.26,396.05,-5.299550799979791,session
2026-07-14 17:54:00+00:00,396.51,396.01,-12.610022445840308,session
2026-07-14 17:55:00+00:00,396.4,396.26,-3.531786074671972,session
2026-07-14 17:56:00+00:00,396.3,396.16,-3.532677264698192,session
2026-07-14 17:57:00+00:00,396.24,396.18,-1.5142337976981057,session
2026-07-14 17:58:00+00:00,396.14,396.14,0.0,session
2026-07-14 17:59:00+00:00,396.2,395.88,-8.07672892478517,session
2026-07-14 18:00:00+00:00,396.14,396.05,-2.271924067248632,session
2026-07-14 18:01:00+00:00,396.19,395.82,-9.338953532396221,session
2026-07-14 18:02:00+00:00,396.73,396.48,-6.301514884178294,session
2026-07-14 18:03:00+00:00,396.71,396.69,-0.5041466058319788,session
2026-07-14 18:04:00+00:00,396.94,396.71,-5.794326598478339,session
2026-07-14 18:05:00+00:00,396.96,396.86,-2.519145505843756,session
2026-07-14 18:06:00+00:00,397.11,396.84,-6.799123668506102,session
2026-07-14 18:07:00+00:00,396.87,396.87,0.0,session
2026-07-14 18:08:00+00:00,396.79,396.61,-4.5364046472951,session
2026-07-14 18:09:00+00:00,396.75,396.61,-3.5286704473846964,session
2026-07-14 18:10:00+00:00,396.97,396.8,-4.2824394790541565,session
2026-07-14 18:11:00+00:00,396.74,396.72,-0.5041084841450605,session
2026-07-14 18:12:00+00:00,396.64,396.37,-6.807180314643002,session
2026-07-14 18:13:00+00:00,396.47,396.28,-4.792291976695173,session
2026-07-14 18:14:00+00:00,396.59,396.33,-6.555888953326816,session
2026-07-14 18:15:00+00:00,396.46,396.39,-1.7656257882259219,session
2026-07-14 18:16:00+00:00,396.83,396.56,-6.803921074515218,session
2026-07-14 18:17:00+00:00,396.84,396.55,-7.307731075495427,session
2026-07-14 18:18:00+00:00,396.87,396.56,-7.811122029883766,session
