ts,close_bn,close_gt,gap_bps,regime
2026-06-21 14:50:00+00:00,402.37,402.21,-3.9764395953978404,weekend
2026-06-21 14:55:00+00:00,402.5,402.37,-3.2298136645958486,weekend
2026-06-21 15:00:00+00:00,402.6,402.45,-3.7257824143077656,weekend
2026-06-21 15:05:00+00:00,402.61,402.46,-3.7256898735760213,weekend
2026-06-21 15:10:00+00:00,402.47,402.33,-3.4785201381482,weekend
2026-06-21 15:15:00+00:00,401.82,401.95,3.2352794783729877,weekend
2026-06-21 15:20:00+00:00,401.83,401.8,-0.7465843764764557,weekend
2026-06-21 15:25:00+00:00,402.51,402.24,-6.707907878065189,weekend
2026-06-21 15:30:00+00:00,402.41,402.24,-4.224547103700571,weekend
2026-06-21 15:35:00+00:00,402.77,402.35,-10.427787571068992,weekend
2026-06-21 15:40:00+00:00,402.81,402.63,-4.468608028599386,weekend
2026-06-21 15:45:00+00:00,402.73,402.58,-3.7245797432527983,weekend
2026-06-21 15:50:00+00:00,402.77,402.6,-4.220771159717529,weekend
2026-06-21 15:55:00+00:00,402.68,402.49,-4.718386808383324,weekend
2026-06-21 16:00:00+00:00,402.32,402.17,-3.7283754225481136,weekend
2026-06-21 16:05:00+00:00,402.21,402.06,-3.7293950921157837,weekend
2026-06-21 16:10:00+00:00,402.05,401.93,-2.9847033951002633,weekend
2026-06-21 16:15:00+00:00,402.25,402.1,-3.7290242386567307,weekend
2026-06-21 16:20:00+00:00,402.42,402.26,-3.9759455295473867,weekend
2026-06-21 16:25:00+00:00,402.41,402.26,-3.7275415620896535,weekend
2026-06-21 16:30:00+00:00,402.19,402.16,-0.7459161093004152,weekend
2026-06-21 16:35:00+00:00,402.27,402.2,-1.7401247918058527,weekend
2026-06-21 16:40:00+00:00,402.47,402.27,-4.969314483068699,weekend
2026-06-21 16:45:00+00:00,402.43,402.23,-4.969808413884946,weekend
2026-06-21 16:50:00+00:00,402.26,402.11,-3.7289315368160825,weekend
2026-06-21 16:55:00+00:00,402.16,402.05,-2.73522975929974,weekend
2026-06-21 17:00:00+00:00,402.24,402.07,-4.226332537788924,weekend
2026-06-21 17:05:00+00:00,402.29,402.12,-4.22580725347399,weekend
2026-06-21 17:10:00+00:00,401.98,401.98,0.0,weekend
2026-06-21 17:15:00+00:00,402.02,401.88,-3.4824138102573787,weekend
2026-06-21 17:20:00+00:00,402.06,401.9,-3.979505546436446,weekend
2026-06-21 17:25:00+00:00,401.96,401.78,-4.478057518161327,weekend
2026-06-21 17:30:00+00:00,401.88,401.76,-2.985965959988457,weekend
2026-06-21 17:35:00+00:00,401.79,401.67,-2.986634809228894,weekend
2026-06-21 17:40:00+00:00,401.85,401.68,-4.230434241633274,weekend
2026-06-21 17:45:00+00:00,402.03,401.85,-4.477277815087,weekend
2026-06-21 17:50:00+00:00,402.03,401.87,-3.9798025022996786,weekend
2026-06-21 17:55:00+00:00,401.96,401.86,-2.487809732311108,weekend
2026-06-21 18:00:00+00:00,401.57,401.51,-1.4941355180919658,weekend
2026-06-21 18:05:00+00:00,401.42,401.49,1.7438094763577716,weekend
2026-06-21 18:10:00+00:00,401.55,401.37,-4.482629809487992,weekend
2026-06-21 18:15:00+00:00,401.6,401.44,-3.984063745020583,weekend
2026-06-21 18:20:00+00:00,401.64,401.46,-4.481625336122397,weekend
2026-06-21 18:25:00+00:00,401.57,401.42,-3.735338795227694,weekend
2026-06-21 18:30:00+00:00,401.89,401.75,-3.4835402722133146,weekend
2026-06-21 18:35:00+00:00,401.79,401.71,-1.991089872820373,weekend
2026-06-21 18:40:00+00:00,401.82,401.66,-3.9818824349202586,weekend
2026-06-21 18:45:00+00:00,401.7,401.53,-4.232013940752566,weekend
