ts,rate
1782057600,0.00000000
1782086400,0.00000000
1782115200,0.00000000
1782144000,0.00000000
1782172800,0.00000000
1782201600,0.00000000
1782230400,0.00000000
1782259200,0.00033272
1782288000,0.00025458
1782316800,0.00006504
1782345600,0.00046607
1782374400,0.00041237
1782403200,0.00013908
1782432000,0.00021661
1782460800,0.00034084
1782489600,0.00003606
1782518400,0.00000000
1782547200,0.00000000
1782576000,0.00000000
1782604800,0.00000000
1782633600,0.00000000
1782662400,0.00000000
1782691200,0.00000000
1782720000,0.00029531
1782748800,0.00000000
1782777600,0.00000000
1782806400,0.00000000
1782835200,0.00000000
1782864000,0.00000000
1782892800,0.00000000
1782921600,0.00000000
1782950400,0.00000000
1782979200,0.00000000
1783008000,0.00008993
1783036800,0.00009565
1783065600,0.00000000
1783094400,0.00000000
1783123200,0.00000000
1783152000,0.00000000
1783180800,0.00000000
1783209600,0.00000000
1783238400,0.00000000
1783267200,0.00000000
1783296000,0.00000000
1783324800,0.00000000
1783353600,0.00000000
1783382400,0.00000000
1783411200,0.00000000
1783440000,0.00000000
1783468800,0.00000000
1783497600,0.00000000
1783526400,0.00000000
1783555200,0.00017777
1783584000,0.00000000
1783612800,0.00003940
1783641600,0.00000000
1783670400,0.00000000
1783699200,0.00004909
1783728000,0.00008630
1783756800,0.00000000
1783785600,0.00000000
1783814400,0.00000000
1783843200,0.00000000
1783872000,0.00000000
1783900800,0.00000000
1783929600,0.00000000
1783958400,0.00013870
1783987200,0.00010436
1784016000,0.00036180
1784044800,0.00022902
1784073600,0.00034830
1784102400,0.00020747
1784131200,0.00017911
1784160000,0.00000000
1784188800,0.00000000
1784217600,0.00000000
1784246400,0.00000000
1784275200,0.00000000
1784304000,0.00000000
1784332800,0.00000519
1784361600,0.00000000
1784390400,0.00000000
1784419200,0.00000000
1784448000,0.00000000
1784476800,0.00000000
1784505600,0.00000000
1784534400,0.00008059
1784563200,0.00000000
1784592000,0.00032423
1784620800,0.00027142
