ts,close_bn,close_gt,gap_bps,regime
2026-06-21 14:55:00+00:00,209.41,209.54,6.207917482450309,weekend
2026-06-21 15:00:00+00:00,209.51,209.62,5.250346045535537,weekend
2026-06-21 15:05:00+00:00,209.5,209.63,6.205250596658107,weekend
2026-06-21 15:10:00+00:00,209.41,209.55,6.685449596486315,weekend
2026-06-21 15:15:00+00:00,209.42,209.56,6.685130360042368,weekend
2026-06-21 15:20:00+00:00,209.38,209.51,6.20880695386461,weekend
2026-06-21 15:25:00+00:00,209.48,209.58,4.7737254153146225,weekend
2026-06-21 15:30:00+00:00,209.4,209.55,7.163323782235498,weekend
2026-06-21 15:35:00+00:00,209.4,209.52,5.730659025788842,weekend
2026-06-21 15:40:00+00:00,209.42,209.52,4.7750931143175634,weekend
2026-06-21 15:45:00+00:00,209.37,209.48,5.2538568085203075,weekend
2026-06-21 15:50:00+00:00,209.23,209.37,6.691201070592179,weekend
2026-06-21 15:55:00+00:00,209.39,209.53,6.686088160849923,weekend
2026-06-21 16:00:00+00:00,209.31,209.44,6.21088337872111,weekend
2026-06-21 16:05:00+00:00,209.15,209.35,9.562514941428013,weekend
2026-06-21 16:10:00+00:00,209.28,209.34,2.8669724770646887,weekend
2026-06-21 16:15:00+00:00,209.37,209.47,4.7762334622913905,weekend
2026-06-21 16:20:00+00:00,209.39,209.51,5.730932709298031,weekend
2026-06-21 16:25:00+00:00,209.41,209.51,4.775321140346733,weekend
2026-06-21 16:30:00+00:00,209.27,209.44,8.123476848089783,weekend
2026-06-21 16:35:00+00:00,209.36,209.5,6.687046236146799,weekend
2026-06-21 16:40:00+00:00,209.37,209.48,5.2538568085203075,weekend
2026-06-21 16:45:00+00:00,209.36,209.48,5.73175391669789,weekend
2026-06-21 16:50:00+00:00,209.38,209.48,4.776005349125256,weekend
2026-06-21 16:55:00+00:00,209.27,209.48,10.034883165288555,weekend
2026-06-21 17:00:00+00:00,209.29,209.42,6.2114768980836566,weekend
2026-06-21 17:05:00+00:00,209.26,209.41,7.16811621905844,weekend
2026-06-21 17:10:00+00:00,209.22,209.31,4.301691998853663,weekend
2026-06-21 17:15:00+00:00,209.25,209.37,5.734767025089571,weekend
2026-06-21 17:20:00+00:00,209.27,209.39,5.734218951591874,weekend
2026-06-21 17:25:00+00:00,209.26,209.41,7.16811621905844,weekend
